model_type,dataset,sequences_per_second,num_steps,total_sequences,wall_time_seconds,timestamp,source_file
AttNHP,amazon,0.56,94,96,171.4,2025-07-30T11:50:54.346232,AttNHP_amazon_20250730_115054.json
AttNHP,retweet,1.39,264,192,138.07,2025-07-30T11:50:31.043961,AttNHP_retweet_20250730_115031.json
AttNHP,stackoverflow,1.1,101,96,87.5,2025-07-30T11:49:56.123918,AttNHP_stackoverflow_20250730_114956.json
AttNHP,taobao,0.76,64,96,126.85,2025-07-30T11:51:17.129264,AttNHP_taobao_20250730_115117.json
AttNHP,taxi,0.97,38,192,197.99,2025-07-30T11:51:59.149205,AttNHP_taxi_20250730_115159.json
IntensityFree,amazon,3212.52,94,3072,0.96,2025-07-30T11:46:49.981616,IntensityFree_amazon_20250730_114649.json
IntensityFree,retweet,2390.77,264,3072,1.28,2025-07-30T11:46:49.636487,IntensityFree_retweet_20250730_114649.json
IntensityFree,stackoverflow,1815.69,101,1401,0.77,2025-07-30T11:46:46.507851,IntensityFree_stackoverflow_20250730_114646.json
IntensityFree,taobao,2738.91,64,1300,0.47,2025-07-30T11:46:44.889697,IntensityFree_taobao_20250730_114644.json
IntensityFree,taxi,4498.24,38,1400,0.31,2025-07-30T11:44:58.196385,IntensityFree_taxi_20250730_114458.json
IntensityFree,taxi,3963.3,38,1400,0.35,2025-07-30T11:46:40.143823,IntensityFree_taxi_20250730_114640.json
NHP,amazon,219.94,94,3072,13.97,2025-07-30T11:46:43.879096,NHP_amazon_20250730_114643.json
NHP,retweet,246.78,264,3072,12.45,2025-07-30T11:46:41.312214,NHP_retweet_20250730_114641.json
NHP,stackoverflow,148.87,101,1401,9.41,2025-07-30T11:46:35.171917,NHP_stackoverflow_20250730_114635.json
NHP,taobao,140.94,64,1300,9.22,2025-07-30T11:46:34.910201,NHP_taobao_20250730_114634.json
NHP,taxi,134.07,38,1400,10.44,2025-07-30T11:46:35.067755,NHP_taxi_20250730_114635.json
RMTPP,amazon,1918.34,94,3072,1.6,2025-07-30T11:46:26.307202,RMTPP_amazon_20250730_114626.json
RMTPP,retweet,3360.16,264,3072,0.91,2025-07-30T11:46:25.839502,RMTPP_retweet_20250730_114625.json
RMTPP,stackoverflow,687.26,101,1401,2.04,2025-07-30T11:46:26.676861,RMTPP_stackoverflow_20250730_114626.json
RMTPP,taobao,542.13,64,1300,2.4,2025-07-30T11:46:19.329078,RMTPP_taobao_20250730_114619.json
RMTPP,taxi,1807.79,38,1400,0.77,2025-07-30T11:44:45.870768,RMTPP_taxi_20250730_114445.json
RMTPP,taxi,1245.14,38,1400,1.12,2025-07-30T11:46:08.652981,RMTPP_taxi_20250730_114608.json
SAHP,amazon,162.34,94,3072,18.92,2025-07-30T11:46:26.543382,SAHP_amazon_20250730_114626.json
SAHP,retweet,224.3,264,3072,13.7,2025-07-30T11:46:21.504596,SAHP_retweet_20250730_114621.json
SAHP,stackoverflow,83.04,101,1401,16.87,2025-07-30T11:46:24.479705,SAHP_stackoverflow_20250730_114624.json
SAHP,taobao,93.88,64,1300,13.85,2025-07-30T11:46:21.384282,SAHP_taobao_20250730_114621.json
SAHP,taxi,114.91,38,1400,12.18,2025-07-30T11:46:19.718749,SAHP_taxi_20250730_114619.json
THP,amazon,17.49,94,3072,175.62,2025-07-30T17:22:56.756716,THP_amazon_20250730_172256.json
THP,retweet,257.64,264,3072,11.92,2025-07-30T11:46:19.729757,THP_retweet_20250730_114619.json
THP,stackoverflow,97.69,101,1401,14.34,2025-07-30T17:24:04.312699,THP_stackoverflow_20250730_172404.json
THP,taobao,129.32,64,1300,10.05,2025-07-30T17:23:38.269095,THP_taobao_20250730_172338.json
THP,taxi,110.93,38,1400,12.62,2025-07-30T11:46:20.168219,THP_taxi_20250730_114620.json
