model_type,dataset,prediction_steps,total_sequences,wall_time_seconds,sequences_per_second,neural_time_seconds,thinning_time_seconds,total_sampling_time_seconds,neural_percentage,thinning_percentage,total_sampling_calls,timestamp
RMTPP,taxi,38,1400,1.46,958.85,0.4591,0.922,1.3811,33.24,66.76,200,20250730_175449
IntensityFree,taxi,38,1400,0.02,73631.34,0.0,0.0,0.0,0.0,0.0,0,20250730_175459
RMTPP,taxi,38,1400,1.44,975.26,0.4255,0.9313,1.3568,31.36,68.64,200,20250730_175835
RMTPP,taxi,38,1400,1.39,1006.93,0.4251,0.896,1.3211,32.18,67.82,200,20250730_175902
RMTPP,taxi,38,1400,1.43,976.49,0.4178,0.9372,1.355,30.83,69.17,200,20250730_180126
RMTPP,taxi,38,1400,1.41,996.27,0.4241,0.9062,1.3303,31.88,68.12,200,20250730_180143
NHP,taxi,38,1400,14.89,94.03,8.9486,5.8613,14.8099,60.42,39.58,200,20250730_180201
SAHP,taxi,38,1400,13.48,103.84,6.4407,12.7723,19.213,33.52,66.48,200,20250730_180219
RMTPP,taxi,38,1400,1.44,975.51,0.4376,0.9202,1.3579,32.23,67.77,200,20250730_180303
THP,taxi,38,1400,12.35,113.38,8.3044,11.6961,20.0004,41.52,58.48,200,20250730_180746
THP,taxi,38,1400,23.69,59.1,20.2324,22.5419,42.7743,47.3,52.7,200,20250730_181131
THP,taobao,64,1300,31.34,41.49,26.6114,28.3798,54.9912,48.39,51.61,200,20250730_181138
THP,retweet,264,3072,41.74,73.61,22.0013,39.0777,61.079,36.02,63.98,300,20250730_181149
SAHP,taxi,38,1400,23.2,60.36,17.5992,20.7317,38.3309,45.91,54.09,200,20250730_181201
THP,stackoverflow,101,1401,57.54,24.35,49.183,53.4933,102.6764,47.9,52.1,200,20250730_181205
SAHP,taobao,64,1300,38.96,33.37,31.4847,35.479,66.9638,47.02,52.98,200,20250730_181222
RMTPP,taxi,38,1400,6.94,201.64,5.7822,0.4933,6.2756,92.14,7.86,200,20250730_181235
RMTPP,taobao,64,1300,2.49,522.91,1.994,0.2382,2.2321,89.33,10.67,200,20250730_181243
SAHP,retweet,264,3072,48.27,63.65,26.8471,45.6434,72.4905,37.04,62.96,300,20250730_181256
SAHP,stackoverflow,101,1401,64.79,21.62,48.5793,57.2184,105.7976,45.92,54.08,200,20250730_181301
RMTPP,retweet,264,3072,1.01,3030.54,0.5586,0.3262,0.8848,63.13,36.87,300,20250730_181302
RMTPP,stackoverflow,101,1401,13.54,103.5,9.9334,3.4832,13.4166,74.04,25.96,200,20250730_181303
RMTPP,amazon,94,3072,3.32,925.41,0.8937,2.2727,3.1664,28.22,71.78,300,20250730_181308
SAHP,amazon,94,3072,67.12,45.77,39.6535,58.328,97.9815,40.47,59.53,300,20250730_181318
NHP,taxi,38,1400,14.28,98.03,8.9801,5.2354,14.2155,63.17,36.83,200,20250730_181321
NHP,taobao,64,1300,17.22,75.51,10.9048,6.2339,17.1387,63.63,36.37,200,20250730_181325
NHP,stackoverflow,101,1401,22.98,60.97,14.8945,7.9855,22.8801,65.1,34.9,200,20250730_181336
NHP,retweet,264,3072,33.29,92.28,21.5455,11.5659,33.1114,65.07,34.93,300,20250730_181356
NHP,amazon,94,3072,33.49,91.73,20.9343,12.37,33.3043,62.86,37.14,300,20250730_181359
